0,3.1416,0,0,0,-0.5236,-0
0.002,3.1416,0,0,0,-0.5236,-0
0.004,3.1416,0,0,0,-0.5236,-0
0.006,3.1416,0,0,0,-0.5236,-0
0.008,3.1416,0,0,0,-0.5236,-0
0.01,3.1416,0,0,0,-0.5236,-0
0.012,3.1416,0,0,0,-0.5236,-0
0.014,3.1416,0,0,0,-0.5236,-0
0.016,3.1416,0,0,0,-0.5236,-0
0.018,3.1416,0,-0.001534,-0.046019,-0.5236,-0
0.02,3.1416,0,-0.001534,-0.043258,-0.5236,-0
0.022,3.1416,0,-0.001534,-0.040663,-0.5236,-0
0.024,3.1416,0,-0.001534,-0.038223,-0.5236,-0
0.026,3.1416,0,-0.001534,-0.03593,-0.5236,-0
0.028,3.1416,0,-0.001534,-0.033774,-0.5236,-0
0.03,3.1416,0,-0.001534,-0.031747,-0.5236,-0
0.032,3.1416,0,-0.001534,-0.029843,-0.5236,-0
0.034,3.1416,0,-0.001534,-0.028052,-0.5236,-0
0.036,3.1416,0,-0.001534,-0.026369,-0.5236,-0
0.038,3.1416,0,-0.001534,-0.024787,-0.5236,-0
0.04,3.1416,0,-0.001534,-0.0233,-0.5236,-0
0.042,3.1416,0,-0.001534,-0.021902,-0.5236,-0
0.044,3.1416,0,-0.001534,-0.020587,-0.5236,-0
0.046,3.1416,0,-0.001534,-0.019352,-0.5236,-0
0.048,3.1416,0,-0.001534,-0.018191,-0.5236,-0
0.05,3.1416,0,-0.001534,-0.0171,-0.5236,-0
0.052,3.1416,0,-0.001534,-0.016074,-0.5236,-0
0.054,3.1416,0,-0.001534,-0.015109,-0.5236,-0
0.056,3.1416,0,-0.001534,-0.014203,-0.5236,-0
0.058,3.1416,0,-0.001534,-0.013351,-0.5236,-0
0.06,3.1416,0,-0.001534,-0.012549,-0.5236,-0
0.062,3.1416,0,-0.001534,-0.011797,-0.5236,-0
0.064,3.1416,0,-0.001534,-0.011089,-0.5236,-0
0.066,3.1416,0,-0.001534,-0.010423,-0.5236,-0
0.068,3.1416,0,-0.001534,-0.009798,-0.5236,-0
0.07,3.1416,0,-0.001534,-0.0092101,-0.5236,-0
0.072,3.1416,0,-0.001534,-0.0086575,-0.5236,-0
0.074,3.1416,0,-0.001534,-0.0081381,-0.5236,-0
0.076,3.1416,0,-0.001534,-0.0076498,-0.5236,-0
0.078,3.1416,0,-0.001534,-0.0071908,-0.5236,-0
0.08,3.1416,0,-0.001534,-0.0067593,-0.5236,-0
0.082,3.1416,0,-0.001534,-0.0063538,-0.5236,-0
0.084,3.1416,0,-0.001534,-0.0059726,-0.5236,-0
0.086,3.1416,0,-0.001534,-0.0056142,-0.5236,-0
0.088,3.1416,0,-0.001534,-0.0052774,-0.5236,-0
0.09,3.1424,0.0076699,-0.001534,-0.0049607,-0.5236,-0
0.092,3.1424,0.0075165,-0.001534,-0.0046631,-0.5236,-0
0.094,3.1424,0.0073662,-0.001534,-0.0043833,-0.5236,-0
0.096,3.1424,0.0072189,-0.001534,-0.0041203,-0.5236,-0
0.098,3.1424,0.0070745,-0.001534,-0.0038731,-0.5236,-0
0.1,3.1424,0.006933,-0.001534,-0.0036407,-0.5236,-0
0.102,3.1424,0.0067943,-0.001534,-0.0034222,-0.5236,-0
0.104,3.1424,0.0066584,-0.001534,-0.0032169,-0.5236,-0
0.106,3.1424,0.0065253,-0.001534,-0.0030239,-0.5236,-0
0.108,3.1424,0.0063948,-0.001534,-0.0028425,-0.5236,-0
0.11,3.1424,0.0062669,-0.001534,-0.0026719,-0.5236,-0
0.112,3.1424,0.0061415,-0.001534,-0.0025116,-0.5236,-0
0.114,3.1424,0.0060187,-0.001534,-0.0023609,-0.5236,-0
0.116,3.1424,0.0058983,-0.001534,-0.0022192,-0.5236,-0
0.118,3.1424,0.0057804,-0.001534,-0.0020861,-0.5236,-0
0.12,3.1424,0.0056648,-0.001534,-0.0019609,-0.5236,-0
0.122,3.1424,0.0055515,-0.001534,-0.0018433,-0.5236,-0
0.124,3.1424,0.0054404,-0.001534,-0.0017327,-0.5236,-0
0.126,3.1424,0.0053316,-0.001534,-0.0016287,-0.5236,-0
0.128,3.1424,0.005225,-0.001534,-0.001531,-0.5236,-0
0.13,3.1431,0.01279,-0.001534,-0.0014391,-0.5236,-0
0.132,3.1431,0.012535,-0.001534,-0.0013528,-0.5236,-0
0.134,3.1431,0.012284,-0.001534,-0.0012716,-0.5236,-0
0.136,3.1431,0.012038,-0.001534,-0.0011953,-0.5236,-0
0.138,3.1431,0.011797,-0.001534,-0.0011236,-0.5236,-0
0.14,3.1431,0.011562,-0.001534,-0.0010562,-0.5236,-0
0.142,3.1431,0.01133,-0.001534,-0.00099281,-0.5236,-0
0.144,3.1431,0.011104,-0.001534,-0.00093325,-0.5236,-0
0.146,3.1431,0.010882,-0.001534,-0.00087725,-0.5236,-0
0.148,3.1431,0.010664,-0.001534,-0.00082462,-0.5236,-0
0.15,3.1431,0.010451,-0.001534,-0.00077514,-0.5236,-0
0.152,3.1431,0.010242,-0.001534,-0.00072863,-0.5236,-0
